InvoiceDate,Year,Quarter,Month
2010-12-01 08:26:00,2010,4,12
2010-12-01 08:28:00,2010,4,12
2010-12-01 08:34:00,2010,4,12
2010-12-01 08:35:00,2010,4,12
2010-12-01 08:45:00,2010,4,12
2010-12-01 09:00:00,2010,4,12
2010-12-01 09:01:00,2010,4,12
2010-12-01 09:02:00,2010,4,12
2010-12-01 09:09:00,2010,4,12
2010-12-01 09:32:00,2010,4,12
2010-12-01 09:34:00,2010,4,12
2010-12-01 09:37:00,2010,4,12
2010-12-01 09:41:00,2010,4,12
2010-12-01 09:45:00,2010,4,12
2010-12-01 09:53:00,2010,4,12
2010-12-01 09:56:00,2010,4,12
2010-12-01 09:57:00,2010,4,12
2010-12-01 09:58:00,2010,4,12
2010-12-01 09:59:00,2010,4,12
2010-12-01 10:03:00,2010,4,12
2010-12-01 10:19:00,2010,4,12
2010-12-01 10:29:00,2010,4,12
2010-12-01 10:37:00,2010,4,12
2010-12-01 10:39:00,2010,4,12
2010-12-01 10:47:00,2010,4,12
2010-12-01 10:51:00,2010,4,12
2010-12-01 10:52:00,2010,4,12
2010-12-01 10:53:00,2010,4,12
2010-12-01 11:21:00,2010,4,12
2010-12-01 11:22:00,2010,4,12
2010-12-01 11:27:00,2010,4,12
2010-12-01 11:29:00,2010,4,12
2010-12-01 11:32:00,2010,4,12
2010-12-01 11:33:00,2010,4,12
2010-12-01 11:34:00,2010,4,12
2010-12-01 11:41:00,2010,4,12
2010-12-01 11:45:00,2010,4,12
2010-12-01 11:49:00,2010,4,12
2010-12-01 11:57:00,2010,4,12
2010-12-01 11:58:00,2010,4,12
2010-12-01 12:03:00,2010,4,12
2010-12-01 12:08:00,2010,4,12
2010-12-01 12:12:00,2010,4,12
2010-12-01 12:15:00,2010,4,12
2010-12-01 12:22:00,2010,4,12
2010-12-01 12:23:00,2010,4,12
2010-12-01 12:27:00,2010,4,12
2010-12-01 12:31:00,2010,4,12
2010-12-01 12:35:00,2010,4,12
2010-12-01 12:36:00,2010,4,12
2010-12-01 12:38:00,2010,4,12
2010-12-01 12:40:00,2010,4,12
2010-12-01 12:43:00,2010,4,12
2010-12-01 12:48:00,2010,4,12
2010-12-01 12:49:00,2010,4,12
2010-12-01 12:50:00,2010,4,12
2010-12-01 12:51:00,2010,4,12
2010-12-01 12:54:00,2010,4,12
2010-12-01 12:58:00,2010,4,12
2010-12-01 13:04:00,2010,4,12
2010-12-01 13:17:00,2010,4,12
2010-12-01 13:20:00,2010,4,12
2010-12-01 13:21:00,2010,4,12
2010-12-01 13:23:00,2010,4,12
2010-12-01 13:24:00,2010,4,12
2010-12-01 13:31:00,2010,4,12
2010-12-01 13:33:00,2010,4,12
2010-12-01 13:38:00,2010,4,12
2010-12-01 13:45:00,2010,4,12
2010-12-01 13:51:00,2010,4,12
2010-12-01 13:54:00,2010,4,12
2010-12-01 14:03:00,2010,4,12
2010-12-01 14:05:00,2010,4,12
2010-12-01 14:11:00,2010,4,12
2010-12-01 14:32:00,2010,4,12
2010-12-01 14:34:00,2010,4,12
2010-12-01 14:37:00,2010,4,12
2010-12-01 14:38:00,2010,4,12
2010-12-01 14:41:00,2010,4,12
2010-12-01 14:48:00,2010,4,12
2010-12-01 14:54:00,2010,4,12
2010-12-01 15:00:00,2010,4,12
2010-12-01 15:06:00,2010,4,12
2010-12-01 15:08:00,2010,4,12
2010-12-01 15:15:00,2010,4,12
2010-12-01 15:21:00,2010,4,12
2010-12-01 15:27:00,2010,4,12
2010-12-01 15:28:00,2010,4,12
2010-12-01 15:35:00,2010,4,12
2010-12-01 15:37:00,2010,4,12
2010-12-01 15:40:00,2010,4,12
2010-12-01 15:45:00,2010,4,12
2010-12-01 15:46:00,2010,4,12
2010-12-01 16:01:00,2010,4,12
2010-12-01 16:11:00,2010,4,12
2010-12-01 16:13:00,2010,4,12
2010-12-01 16:15:00,2010,4,12
2010-12-01 16:16:00,2010,4,12
2010-12-01 16:17:00,2010,4,12
2010-12-01 16:19:00,2010,4,12
2010-12-01 16:21:00,2010,4,12
2010-12-01 16:22:00,2010,4,12
2010-12-01 16:24:00,2010,4,12
2010-12-01 16:25:00,2010,4,12
2010-12-01 16:33:00,2010,4,12
2010-12-01 16:49:00,2010,4,12
2010-12-01 16:52:00,2010,4,12
2010-12-01 16:57:00,2010,4,12
2010-12-01 16:58:00,2010,4,12
2010-12-01 17:06:00,2010,4,12
2010-12-01 17:15:00,2010,4,12
2010-12-01 17:22:00,2010,4,12
2010-12-01 17:24:00,2010,4,12
2010-12-01 17:29:00,2010,4,12
2010-12-01 17:35:00,2010,4,12
2010-12-02 07:48:00,2010,4,12
2010-12-02 07:49:00,2010,4,12
2010-12-02 08:32:00,2010,4,12
2010-12-02 08:33:00,2010,4,12
2010-12-02 08:34:00,2010,4,12
2010-12-02 08:40:00,2010,4,12
2010-12-02 08:43:00,2010,4,12
2010-12-02 08:52:00,2010,4,12
